spkid,threat_score
6914,0.8487363
11040,0.8218032
4317,0.8004452
7547,0.7813319
2905,0.7634333
3478,0.7626359
7927,0.75964034
5904,0.73329026
430,0.7218849
10849,0.70921344
2694,0.70750475
9960,0.6981424
1623,0.6976569
7544,0.69704896
3381,0.6940402
7157,0.69271445
4866,0.6914206
7999,0.6895177
5577,0.6865467
883,0.6860254
2707,0.6848591
8532,0.6800895
9162,0.67799395
9878,0.67765963
9944,0.6722619
3413,0.6658153
7806,0.6634888
10050,0.6627573
8963,0.66225225
760,0.66109204
10830,0.66084784
8019,0.66007733
8154,0.65840065
1096,0.6573509
3255,0.6559604
6686,0.653433
7560,0.6482958
5022,0.64810705
5389,0.64532375
1848,0.64501005
2477,0.6441095
1737,0.63636506
849,0.63626856
5682,0.6330708
8809,0.63232625
3957,0.6315032
6557,0.630284
1208,0.63026
10999,0.62974054
7138,0.62922233
8669,0.62812364
2013,0.627761
11657,0.6277575
661,0.6276233
7577,0.6273538
1394,0.6271853
11471,0.62598664
8290,0.62575185
8047,0.6252461
9552,0.62524366
2696,0.6248051
7153,0.6246814
9031,0.62464046
5621,0.624059
8588,0.6233788
5944,0.622392
9619,0.6222306
6080,0.6222138
7814,0.62158304
7973,0.62086797
385,0.62082356
55,0.6204855
10189,0.620265
1715,0.6202421
2661,0.62013996
6029,0.61986893
8520,0.6197035
1807,0.619032
9675,0.6190025
9445,0.618444
3902,0.61811113
7581,0.6179304
7642,0.61771125
208,0.6173768
6931,0.6169517
8190,0.6168514
5037,0.6167979
9935,0.61673814
8925,0.6165641
3555,0.6165637
10718,0.6164785
3327,0.6164694
4730,0.6163672
6653,0.61631316
4040,0.6161349
10707,0.61589587
618,0.6158041
8623,0.6157372
1904,0.6157183
3566,0.6156914
